Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-02-03;76;Occitanie;7.6975;90.935
2016-02-03;84;Auvergne-Rhone-Alpes;4.0825;61.67125
2016-02-03;93;Provence-Alpes-Cote d'Azur;7.0962499999999995;110.04625
2016-02-04;11;Ile-de-France;9.7425;19.37375
2016-02-04;24;Centre-Val de Loire;9.03375;27.0925
2016-02-04;27;Bourgogne-Franche-Comte;7.79125;29.53375
2016-02-04;28;Normandie;11.93875;40.643750000000004
2016-02-04;32;Hauts-de-France;10.4375;29.89
2016-02-04;44;Grand Est;7.5525;16.98875
2016-02-04;52;Pays de la Loire;10.76;42.34125
2016-02-04;53;Bretagne;12.315;48.24125
2016-02-04;75;Nouvelle-Aquitaine;6.18125;70.2175
2016-02-04;76;Occitanie;8.225;107.03875
2016-02-04;84;Auvergne-Rhone-Alpes;4.37125;71.07125
2016-02-04;93;Provence-Alpes-Cote d'Azur;7.95;125.33625
2016-02-05;11;Ile-de-France;10.10625;31.29
2016-02-05;24;Centre-Val de Loire;9.34625;46.37875
2016-02-05;27;Bourgogne-Franche-Comte;7.6587499999999995;48.2925
2016-02-05;28;Normandie;12.26;51.9775
2016-02-05;32;Hauts-de-France;10.74625;34.17625
2016-02-05;44;Grand Est;8.30875;35.6625
2016-02-05;52;Pays de la Loire;11.625;61.38875
2016-02-05;53;Bretagne;13.44125;63.63375
2016-02-05;75;Nouvelle-Aquitaine;7.4375;105.045
2016-02-05;76;Occitanie;7.86;122.84625
2016-02-05;84;Auvergne-Rhone-Alpes;4.39875;93.6875
2016-02-05;93;Provence-Alpes-Cote d'Azur;7.575;124.17
2016-02-06;11;Ile-de-France;11.09625;73.14375
2016-02-06;24;Centre-Val de Loire;10.53;100.57875
2016-02-06;27;Bourgogne-Franche-Comte;8.258750000000001;102.87625
2016-02-06;28;Normandie;13.098749999999999;62.15624999999999
2016-02-06;32;Hauts-de-France;11.5775;55.92
2016-02-06;44;Grand Est;8.86625;89.43875
2016-02-06;52;Pays de la Loire;12.43875;91.63625
2016-02-06;53;Bretagne;14.465;45.175
2016-02-06;75;Nouvelle-Aquitaine;7.99625;117.165
2016-02-06;76;Occitanie;7.87;101.99
2016-02-06;84;Auvergne-Rhone-Alpes;4.44375;102.1
2016-02-06;93;Provence-Alpes-Cote d'Azur;8.0275;70.2925
2016-02-07;11;Ile-de-France;11.05125;84.80625
2016-02-07;24;Centre-Val de Loire;11.24375;89.15
2016-02-07;27;Bourgogne-Franche-Comte;9.16125;42.425
2016-02-07;28;Normandie;12.4325;75.97375
2016-02-07;32;Hauts-de-France;11.13;72.95
2016-02-07;44;Grand Est;9.48;45.67125
2016-02-07;52;Pays de la Loire;12.51125;86.04625
2016-02-07;53;Bretagne;14.08625;66.13
2016-02-07;75;Nouvelle-Aquitaine;8.8;88.30250000000001
2016-02-07;76;Occitanie;7.415;75.4025
2016-02-07;84;Auvergne-Rhone-Alpes;4.7475000000000005;37.91625
2016-02-07;93;Provence-Alpes-Cote d'Azur;8.95625;38.96
2016-02-08;11;Ile-de-France;11.1475;68.045
2016-02-08;24;Centre-Val de Loire;11.55375;54.685
2016-02-08;27;Bourgogne-Franche-Comte;9.536249999999999;34.326249999999995
2016-02-08;28;Normandie;12.035;73.46625
